,smiles,y_true,pka_acid_1,pka_acid_2,pka_acid_3,pka_acid_4,pka_base_1,pka_base_2,pka_base_3,pka_base_4,α_acid_0,α_acid_1,α_acid_2,α_acid_3,α_acid_4,α_base_0,α_base_1,α_base_2,α_base_3,α_base_4
0,Br/C=C/c1ccccc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
1,Br/C=C\Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
2,Br/C=C\c1ccccc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
3,BrC(Br)C(Br)Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
4,BrC(Br)c1ccccc1OCC1CO1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
5,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
6,Brc1c(Br)c(Br)c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
7,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
8,Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
9,Brc1cc(Br)cc(Br)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
10,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
11,Brc1ccc(Br)cc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
12,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
13,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
14,Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
15,Brc1ccccc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
16,BrCCBr,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
17,C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
18,C#CC(C)(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
19,C#CC(C)(O)CC(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
20,C#CC(C)(O)CCC=C(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
21,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
22,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
23,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
24,C#CC1(OC(N)=O)CCCCC1,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
25,C#CCCOC1CCCCO1,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
26,C/C(=C\C(C)C)C(C)OC(C)(C)COC(=O)C1CC1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
27,C/C=C/C(C)CC(C)CC(C)C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
28,C/C=C\C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
29,C/C=N\C=O,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,5.5,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,7.844525616885448e-25,1.9704557458683956e-17,4.949561051936931e-10,0.0124327352482887,0.9875672642567552
30,C/N=C(\N)N[N+](=O)[O-],0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,9.2,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,6.211133367614181e-23,1.5601661630406521e-15,3.918960215842192e-08,0.9843982991799896,0.0156016616304066
31,C/N=C(\O)Oc1cccc(C)c1,0,2.9,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.1542348828314335e-05,0.9974566504901696,0.0025054978263852,6.293525994273907e-06,1.5808622551369527e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
32,C[N+](C)(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
33,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
34,C[N+](C)(C)CC(=O)O,1,1.9,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.15432442815272e-06,0.9974849672070776,0.0025055689547622,6.293704660678954e-06,1.5809071341088133e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
35,C[N+](C)(C)Cc1ccccc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
36,C[N+](C)(C)CC1CO1,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
37,C[N+](C)(C)CCO,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
38,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
39,C[N+](C)(C)OP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
40,C[N+](C)(CC[N+](C)(C)CC(O)COCC(F)(F)C(F)F)CC(O)COCC(F)(F)C(F)F,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
41,C[N+](C)(CCO)CCCO,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
42,C[N+](C)=CCC(O)CC(N)=O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
43,C[N+]1([O-])CCOCC1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
44,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
45,C[Si]1(C)O[Si](C)(C)O[Si](C)(c2ccccc2)O[Si](C)(C)O1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
46,C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
47,C=C(Br)C(F)(F)F,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
48,C=C(C(=O)O)c1ccccc1,1,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
49,C=C(C)C(=O)NCCC[N+](C)(C)CC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
50,C=C(C)C(=O)OCC,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
51,C=C(C)C(=O)OCC[N+](C)(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
52,C=C(C)C(=O)OCCN,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,8.1,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,5.260054402913389e-23,1.3212659283680418e-15,3.3188699578836065e-08,0.8336624415152634,0.1663375252960357
53,C=C(C)C(=O)OCCN(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,8.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,5.0428632633301364e-23,1.266709980711714e-15,3.181831613207528e-08,0.799239965656426,0.2007600025252567
54,C=C(C)C(=O)OCCNC(C)(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,8.9,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,6.116163140656574e-23,1.5363107205914329e-15,3.85903805363634e-08,0.96934653256083,0.0306534288487879
55,C=C(C)C(=O)OCCOP(=O)(O)OCC[N+](C)(C)C,1,1.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,6.293720552033525e-07,0.9974874858170572,0.0025055752812244,6.293720552033599e-06,1.5809111258366243e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
56,C=C(C)C1CC=C(C)C(=O)C1,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
57,C=C(C)C1CC=C(C)CC1,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
58,C=C(C)C1CCC(C)CC1,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
59,C=C(C)CC(C)CCC,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
60,C=C(C)CCl,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
61,C=C(Cl)CO,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
62,C=C1CCOC(C=C(C)C)C1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
63,C=C1COC2(OCCCO2)OC1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
64,C=CC(=O)N1CCOCC1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
65,C=CC(=O)OC1C=CC2C3CCC(C3)C12,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
66,C=CC(=O)OCC(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
67,C=CC(=O)OCC(C)CC,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
68,C=CC(=O)OCC(C)O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
69,C=CC(=O)OCC[N+](C)(C)C,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
70,C=CC(=O)OCCCCCCCC,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
71,C=CC(=O)OCCCOc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(OCCCOC(=O)C=C)cc3)c(C)c2)cc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
72,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
73,C=CC(C)=O,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
74,C=CC(C)O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
75,C=CC(OC(C)=O)OC(C)=O,1,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
76,C=CC/C=C/C/C=C/C/C=C/C,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
77,C=Cc1ccc(CC)cc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
78,C=Cc1ccc(Cl)cc1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
79,C=CC1CCC(O)C(O)C1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
80,C=Cc1ccc(S(=O)(=O)O)cc1,0,-0.3,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.9902504031008652e-08,0.9974880937556898,0.0025055768082972,6.293724387867049e-06,1.5809120893544242e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
81,C=Cc1cccc(C=C)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
82,C=Cc1cccc(CC)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
83,C=Cc1cccc(Cl)c1,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.99748811356859,0.002505576858065,6.293724512877999e-06,1.580912120755755e-08,3.971071705535432e-11,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
